City,Population
Big Bear City,"12,304"
Marysville,"12,231"
Fortuna,"11,888"
Scotts Valley,"11,858"
Kingsburg,"11,732"
Los Alamitos,"11,716"
Clayton,"11,690"
Healdsburg,"11,656"
Home Gardens,"11,570"
Sun Village,"11,565"
Redwood-Potter,"11,545"
Lakeland Village,"11,541"
Signal Hill,"11,526"
Central Shasta,"11,467"
Hillsborough,"11,413"
Mendota,"11,412"
Magalia,"11,310"
Foothill Ranch,"11,286"
Piedmont,"11,236"
Emeryville,"11,227"
Sierra Madre,"11,165"
View Park-Windsor Hills,"11,075"
Diamond Springs,"11,037"
Sonoma,"11,017"
Canyon Lake,"11,010"
Quartz Hill,"10,912"
Citrus,"10,866"
Central Colusa,"10,807"
La Riviera,"10,802"
Farmersville,"10,786"
Crestline,"10,770"
Delhi,"10,755"
Newman,"10,748"
Tamalpais-Homestead Valley,"10,735"
Pine Grove-Silver Lake,"10,703"
Blackhawk-Camino Tassajara,"10,652"
Garden Acres,"10,648"
Muscoy,"10,644"
Camp Pendleton South,"10,616"
Winton,"10,613"
Exeter,"10,558"
Placerville,"10,556"
Morro Bay,"10,544"
Toro,"10,399"
Rossmoor,"10,244"
Anderson,"10,209"
Shasta Lake,"10,166"
Capitola,"10,146"
San Diego Country Estates,"10,109"
Fairview,"10,003"
Del Aire,"10,001"
Corte Madera,"9,916"
East La Mirada,"9,757"
Twentynine Palms Base,"9,756"
Mountain House,"9,675"
Soquel,"9,644"
Orange Cove,"9,584"
East Compton,"9,472"
Laguna West-Lakeside,"9,395"
Country Club,"9,379"
Blackhawk,"9,354"
Linda Rural,"9,329"
Charter Oak,"9,310"
Northwest Marin,"9,291"
Valley Center,"9,277"
East Colusa,"9,242"
Tiburon,"9,224"
Rio del Mar,"9,216"
Good Hope,"9,192"
Madera Acres,"9,163"
East Shasta,"9,034"
Montecito,"8,965"
Taft,"8,909"
Larkfield-Wikiup,"8,884"
Oak Hills,"8,879"
Marina del Rey,"8,866"
Fort Irwin,"8,845"
Cloverdale,"8,796"
Waterford,"8,732"
West Athens,"8,729"
Mentone,"8,720"
Rodeo,"8,679"
Golden Hills,"8,656"
Alondra Park,"8,592"
Mecca,"8,577"
Bonadelle Ranchos-Madera Ranchos,"8,569"
Earlimart,"8,537"
Midway City,"8,485"
Westlake Village,"8,473"
Gonzales,"8,440"
Calimesa,"8,423"
Los Altos Hills,"8,396"
August,"8,390"
West Santa Clara,"8,318"
Firebaugh,"8,300"
Topanga,"8,289"
Oroville East,"8,280"
East Foothills,"8,269"
West Imperial,"8,265"
Orosi,"8,262"
Rolling Hills Estates,"8,251"
Spring Valley Lake,"8,220"
South San Gabriel,"8,070"
Rio Vista,"8,070"
Mammoth Lakes,"8,009"
Pismo Beach,"7,931"
Gold River,"7,912"
Thousand Palms,"7,715"
Templeton,"7,674"
Woodlake,"7,659"
Sebastopol,"7,659"
Foresthill-Back Country,"7,652"
Fairfax,"7,638"
Ojai,"7,627"
Acton,"7,596"
Yreka,"7,564"
Corning,"7,558"
Garnet,"7,543"
Calipatria,"7,519"
Orland,"7,512"
Pauma Valley,"7,475"
Lemoore Station,"7,438"
Cotati,"7,429"
Joshua Tree,"7,414"
Escalon,"7,388"
Marysville Rural,"7,361"
Interlaken,"7,321"
Fort Bragg,"7,302"
Oceano,"7,286"
Bermuda Dunes,"7,282"
Pinon Hills,"7,272"
Guadalupe,"7,271"
Hughson,"7,227"
El Rio,"7,198"
Atherton,"7,147"
Sausalito,"7,135"
San Martin,"7,027"
Mount Baldy-Wrightwood,"6,995"
Ione,"6,983"
Desert Palms,"6,957"
Winters,"6,941"
Alta Sierra,"6,911"
Oasis,"6,890"
Pollock Pines,"6,871"
Mira Monte,"6,854"
Mountain Empire,"6,830"
Briones,"6,817"
Huron,"6,806"
Crescent City,"6,786"
South Monrovia Island,"6,777"
East Porterville,"6,767"
Loomis,"6,728"
Boyes Hot Springs,"6,656"
Thermalito,"6,646"
Portola Hills,"6,618"
Gridley,"6,578"
Palomar-Julian,"6,523"
Ladera Heights,"6,498"
Vandenberg Village,"6,497"
Kentfield,"6,485"
Castroville,"6,481"
Nuevo,"6,447"
Cherry Valley,"6,362"
Roseland,"6,325"
Holtville,"6,290"
Carmel Valley,"6,266"
Ben Lomond,"6,234"
Aptos,"6,220"
Jamul,"6,163"
Franklin,"6,149"
East Pasadena,"6,144"
Lucas Valley-Marinwood,"6,094"
Willows,"6,088"
Sloughhouse,"6,043"
Fowler,"6,042"
Cambria,"6,032"
Name,
